Study,Diff in means,Common SD,Treat N,Con N,Std diff in means,Std Err,g,Std Err,Mode of input
Hatami (2017_Average) (1),3.41,2.773454525,47,47,1.2295135792789,0.224931474690735,1.21946305955727,0.223092797785907,Listening
Hatami (2017_Average) (2),5.04,3.268062751,37,47,1.54219804942785,0.249921219126505,1.52804944346979,0.247628363905161,Reading
Miyasako (2002),0.91,2.481684634,31,29,0.366686398236368,0.260502042395541,0.361924237220312,0.257118898987807,Reading
Rott (1999_Average),4.4725,1.388078379,16,47.5,3.22208030012115,0.406569919904683,3.18294572157717,0.401631823711508,Reading
Feng & Webb (2019_Average) (1),-0.035,0.131506454,21,19,-0.266146633381203,0.318018949037896,-0.260858951923298,0.311700691772242,Reading
Feng & Webb (2019_Average) (2),0.067,0.129713145,15,19,0.516524366131127,0.351029538780561,0.504323003151652,0.342737502431414,Listening
Feng & Webb (2019_Average) (3),0.08,0.152388872,21,19,0.524972715855525,0.322017982372608,0.514542794348462,0.315620274113549,Viewing 
"Pavia, Webb, & Faez (2019_Average)",1.45,2.695762253,39,26,0.537881261000059,0.257542372679024,0.531452401306831,0.254464176989633,Listening
Pellicer?S疣chez & Serrano(RO),4.9,10.15519723,18,10,0.482511554332461,0.399641100399012,0.468457819740253,0.388001068348555,Reading
Pellicer?S疣chez & Serrano(RWL),5.23,9.3,41,10,0.562365591397849,0.35705851577936,0.553713813068652,0.351565307844293,RWL
Vidal (LO),13.74,2.431774044,112,38,5.65019600974078,0.376377572920099,5.62151481172179,0.374467026864667,Listening
Vidal (RO),18.83,2.702144902,80,38,6.96853821053894,0.494551033799253,6.92338569513588,0.491346599454981,Reading
Watanabe (1997),2.35,4.364307782,48,45,0.538458815781109,0.211221119800082,0.534008742923414,0.209475490710825,Reading
Webb & Chang (2015),23.49,14.93279277,61,21,1.57304801330877,0.281248614650923,1.55825445832467,0.278603643353265,RWL
Dang et al. (2021),2.44,6.88,28,27,0.354651162790698,0.271835895514426,0.349608729196517,0.267970930175358,Viewing 
