Study,Mode,Rate of learning (1st posttest),Rate of learning (2nd posttest)
"Day, Omura, & Hiramatsu (1991) (1)",Reading,0.065,NA
"Day, Omura, & Hiramatsu (1991) (2)",Reading,0.18,NA
Hatami (2017_Average) (2),Reading,0.379,0.356
Miyasako (2002),Reading,0.124,0.061
"Pitts, White, & Krashen (1989)",Reading,0.068,NA
Reynolds (2014),Reading,0.004,NA
Reynolds (2018) (1),Reading,0.217,NA
Reynolds (2018) (2),Reading,0.194,NA
Rott (1999_Average),Reading,0.401,0.373
Webb (2007),Reading,0.511,NA
Alahirsh (2014_Average),Reading,0.066,NA
Daskalovska (2016_Average) (1),Reading,0.123,NA
Daskalovska (2016_Average) (2),Reading,0.16,NA
Feng & Webb (2019_Average) (1),Reading,0.055,0.014
Pellicer?Sánchez & Serrano(RO),Reading,0.099,0.098
Vidal (RO),Reading,0.227,0.105
Watanabe (1997),Reading,0.086,0.049
Al-Shehri (2015_Average),Listening,0.284,NA
Hatami (2017_Average) (1),Listening,0.241,0.327
Donkaewbua (2009_Average),Listening,0.037,NA
Feng & Webb (2019_Average) (2),Listening,0.09,0.051
"Pavia, Webb, & Faez (2019_Average)",Listening,0.097,0.076
Vidal (LO),Listening,0.155,0.076
Koolstra & Beentjes (1999) (1),Viewing,0.02,NA
Koolstra & Beentjes (1999) (2),Viewing,0.051,NA
Neuman & Koskinen (1992),Viewing,0.131,NA
Rodgers & Webb (2019_Average),Viewing,0.02,NA
Feng & Webb (2019_Average) (3),Viewing,0.124,0.053
Peters & Webb (2018_Average) (1),Viewing,0.02,NA
Peters & Webb (2018) (2),Viewing,0.054,NA
Pellicer?Sánchez & Serrano(RWL),RWL,0.104,0.105
Webb & Chang (2015),RWL,0.153,0.235
Dang et al. (2021),Viewing,0.032,0.049
Montero Perez (2020),Viewing,0.191,NA
