,1,2,3,4,7,,9,10,17,19,20,,32,,49,,,,42,45,,,24,,
,Identification,,,,Learner,,,,Study Design,,,,Treatment,,,,,,Methodology,,,,,,
Independent effect sizes (k),Author,Year of publication,Title,Type of publication,Age,Basic vocab,L1,L2,Pretest,Lapse (preT-treat),Lapse (treat-post1),Lapse (treat-post2),Spacing,Type of spacing/massing,Mode,Visual aid,Engagement,Range in encounters,Nonword use,CompTest announcement,Test format,Test reliability,N,ES1 (r),ES2 (r)
1,Alahirsh (2014),2014,Exploring the effectiveness of extensive reading on incidental vocabulary acquisition by EFL learners: An experimental case stiudy in a Libyan university,PhD thesis,University,0.75,Arabic,English,Yes,7,7,14,Spaced,Self-paced multiple exposures,Reading ,Yes,No,111,No,No,Recognition,not reported,18,0.31,not reported
2,Brown (1993),1993,Factors affecting the acquisition of vocabulary: frequency and saliency of words,Book chapter,cannot tell,cannot tell,mix,English,Yes,cannot tell,cannot tell,no test,Spaced,Self-paced multiple exposures,Viewing,Yes,Yes,32,No,No,Recognition,not reported,85,0.063,no test
3,Daskalovska (2010),2010,Acquiring vocabulary through reading: a replication of the Golden Fleece study,Proceeding,Secondary,0.79,Macedonian,English,Yes,7,2,no test,Massed,Single exposure,RWL,No,No,14,No,No,Recognition,not reported,83,0.34,no test
4,Daskalovska (2014a),2014,Incidental vocabulary acquisition from reading an authentic text,Journal Article,University,0.87,Macedonian,English,Yes,7,1,no test,Massed,Single exposure,RWL,No,No,8,No,No,Recognition,not reported,18,0.06,no test
5,Daskalovska (2014b)_sample 1,2014,Incidental vocabulary learning through reading,Journal Article,University,0.94,Macedonian,English,Yes,7,2,no test,Massed,Single exposure,RWL,No,No,14,No,No,Recognition,not reported,31,0.29,no test
6,Daskalovska (2014b)_sample 2,2014,Incidental vocabulary learning through reading,Journal Article,University,0.85,Macedonian,English,Yes,7,2,no test,Massed,Single exposure,RWL,No,No,14,No,No,Recognition,not reported,32,0.3,no test
7,Daskalovska (2014b)_sample 3,2014,Incidental vocabulary learning through reading,Journal Article,University,0.55,Macedonian,English,Yes,7,2,no test,Massed,Single exposure,RWL,No,No,14,No,No,Recognition,not reported,31,0.11,no test
8,Daskalovska (2016)_average_sample 1,2016,Acquisition of three word knowledge aspects through reading,Journal Article,Secondary,cannot tell,cannot tell,English,Yes,7,0,no test,Spaced,Self-paced multiple exposures,Reading ,No,No,19,No,No,Average ,reported,33,0.25,no test
,Daskalovska (2016)_sample 1.1,2016,Acquisition of three word knowledge aspects through reading,Journal Article,Secondary,cannot tell,cannot tell,English,Yes,7,0,no test,Spaced,Self-paced multiple exposures,Reading ,No,No,19,No,No,Recognition,reported,33,0.25,no test
,Daskalovska (2016)_sample 1.2,2016,Acquisition of three word knowledge aspects through reading,Journal Article,Secondary,cannot tell,cannot tell,English,Yes,7,0,no test,Spaced,Self-paced multiple exposures,Reading ,No,No,19,No,No,Recall,reported,33,0.25,no test
9,Daskalovska (2016)_average_sample 2,2016,Acquisition of three word knowledge aspects through reading,Journal Article,Secondary,cannot tell,cannot tell,English,Yes,7,0,no test,Spaced,Self-paced multiple exposures,Reading ,No,No,19,No,No,Average ,reported,30,0.33999999999999997,no test
,Daskalovska (2016)_sample 2.1,2016,Acquisition of three word knowledge aspects through reading,Journal Article,Secondary,cannot tell,cannot tell,English,Yes,7,0,no test,Spaced,Self-paced multiple exposures,Reading ,No,No,19,No,No,Recognition,reported,30,0.44,no test
,Daskalovska (2016)_sample 2.2,2016,Acquisition of three word knowledge aspects through reading,Journal Article,Secondary,cannot tell,cannot tell,English,Yes,7,0,no test,Spaced,Self-paced multiple exposures,Reading ,No,No,19,No,No,Recall,reported,30,0.24,no test
10,Ellis (1995)_sample 1,1995,Modified oral input and the acquisition of word meanings,Journal Article,Secondary,cannot tell,Japanese,English,Yes,31,2,one month,Massed,Single exposure,Listening,No,No,6,No,No,Recall,not reported,27,0.29,0.15
11,Ellis (1995)_sample 2,1995,Modified oral input and the acquisition of word meanings,Journal Article,Secondary,cannot tell,Japanese,English,Yes,31,2,one month,Massed,Single exposure,interaction,No,Yes,23,No,No,Recall,not reported,24,0.31,0.32
12,Feng (2017)_average_sample 1,2017,How does mode of input affect incidental vocabulary learning,MA thesis,University,0.9,Chinese,English,Yes,7,0,7,Massed,Single exposure,Reading ,No,No,30,No,No,Average ,not reported,21,0.20550000000000002,not reported
,Feng (2017)_sample 1.1,2017,How does mode of input affect incidental vocabulary learning,MA thesis,University,0.9,Chinese,English,Yes,7,0,7,Massed,Single exposure,Reading ,No,No,30,No,No,Recognition,not reported,21,0.241,not reported
,Feng (2017)_sample 1.2,2017,How does mode of input affect incidental vocabulary learning,MA thesis,University,0.9,Chinese,English,Yes,7,0,7,Massed,Single exposure,Reading ,No,No,30,No,No,Recognition,not reported,21,0.17,not reported
13,Feng (2017)_average_sample 2,2017,How does mode of input affect incidental vocabulary learning,MA thesis,University,0.93,Chinese,English,Yes,7,0,7,Massed,Single exposure,Viewing,Yes,No,30,No,No,Average ,not reported,31,0.21000000000000002,not reported
,Feng (2017)_sample 2.1,2017,How does mode of input affect incidental vocabulary learning,MA thesis,University,0.93,Chinese,English,Yes,7,0,7,Massed,Single exposure,Viewing,Yes,No,30,No,No,Recognition,not reported,31,0.392,not reported
,Feng (2017)_sample 2.2,2017,How does mode of input affect incidental vocabulary learning,MA thesis,University,0.93,Chinese,English,Yes,7,0,7,Massed,Single exposure,Viewing,Yes,No,30,No,No,Recognition,not reported,31,0.028,not reported
14,Feng (2017)_average_sample 3,2017,How does mode of input affect incidental vocabulary learning,MA thesis,University,0.92,Chinese,English,Yes,7,0,7,Massed,Single exposure,Listening,No,No,30,No,No,Average ,not reported,15,0.013999999999999999,not reported
,Feng (2017)_sample 3.1,2017,How does mode of input affect incidental vocabulary learning,MA thesis,University,0.92,Chinese,English,Yes,7,0,7,Massed,Single exposure,Listening,No,No,30,No,No,Recognition,not reported,15,0.038,not reported
,Feng (2017)_sample 3.2,2017,How does mode of input affect incidental vocabulary learning,MA thesis,University,0.92,Chinese,English,Yes,7,0,7,Massed,Single exposure,Listening,No,No,30,No,No,Recognition,not reported,15,-0.01,not reported
15,Feng (2017)_average_sample 4,2017,How does mode of input affect incidental vocabulary learning,MA thesis,University,0.93,Chinese,English,Yes,7,0,7,Massed,Single exposure,Viewing,Yes,No,30,No,No,Average ,not reported,21,0.0655,not reported
,Feng (2017)_sample 4.1,2017,How does mode of input affect incidental vocabulary learning,MA thesis,University,0.93,Chinese,English,Yes,7,0,7,Massed,Single exposure,Viewing,Yes,No,30,No,No,Recognition,not reported,21,0.055,not reported
,Feng (2017)_sample 4.2,2017,How does mode of input affect incidental vocabulary learning,MA thesis,University,0.93,Chinese,English,Yes,7,0,7,Massed,Single exposure,Viewing,Yes,No,30,No,No,Recognition,not reported,21,0.076,not reported
16,Ferris (1988),1988,Reading and second language vocabulary acquisition,unpublished paper,University,cannot tell,mix,English,Yes,cannot tell,10,unknown,Spaced,Self-paced multiple exposures,Reading ,No,cannot tell,7,No,cannot tell,Recognition,cannot tell,30,0.32,cannot tell
17,Hatami (2017)_average_sample 1,2017,The differential impact of reading and listening on L2 incidental acquisition of different dimensions of word knowledge,Journal Article,University,0.74,Farsi,English,Nonword,no pretest,0,21,Massed,Single exposure,Reading ,No,No,18,Yes,No,Average ,not reported,39,0.337,not reported
,Hatami (2017)_sample 1.1,2017,The differential impact of reading and listening on L2 incidental acquisition of different dimensions of word knowledge,Journal Article,University,0.74,Farsi,English,Nonword,no pretest,0,21,Massed,Single exposure,Reading ,No,No,18,Yes,No,Recognition,not reported,39,-0.216,not reported
,Hatami (2017)_sample 1.2,2017,The differential impact of reading and listening on L2 incidental acquisition of different dimensions of word knowledge,Journal Article,University,0.74,Farsi,English,Nonword,no pretest,0,21,Massed,Single exposure,Reading ,No,No,18,Yes,No,Recognition,not reported,39,0.623,not reported
,Hatami (2017)_sample 1.3,2017,The differential impact of reading and listening on L2 incidental acquisition of different dimensions of word knowledge,Journal Article,University,0.74,Farsi,English,Nonword,no pretest,0,21,Massed,Single exposure,Reading ,No,No,18,Yes,No,Recall,not reported,39,0.604,not reported
18,Hatami (2017)_average_sample 2,2017,The differential impact of reading and listening on L2 incidental acquisition of different dimensions of word knowledge,Journal Article,University,0.77,Farsi,English,Nonword,no pretest,0,21,Massed,Single exposure,Listening,No,No,18,Yes,No,Average ,not reported,51,0.496,not reported
,Hatami (2017)_sample 2.1,2017,The differential impact of reading and listening on L2 incidental acquisition of different dimensions of word knowledge,Journal Article,University,0.77,Farsi,English,Nonword,no pretest,0,21,Massed,Single exposure,Listening,No,No,18,Yes,No,Recognition,not reported,51,0.285,not reported
,Hatami (2017)_sample 2.2,2017,The differential impact of reading and listening on L2 incidental acquisition of different dimensions of word knowledge,Journal Article,University,0.77,Farsi,English,Nonword,no pretest,0,21,Massed,Single exposure,Listening,No,No,18,Yes,No,Recognition,not reported,51,0.509,not reported
,Hatami (2017)_sample 2.3,2017,The differential impact of reading and listening on L2 incidental acquisition of different dimensions of word knowledge,Journal Article,University,0.77,Farsi,English,Nonword,no pretest,0,21,Massed,Single exposure,Listening,No,No,18,Yes,No,Recall,not reported,51,0.696,not reported
19,Horst (2000),2000,Text encounters of the frequent kind: learning L2 vocabulary thrugh reading,PhD thesis,University,cannot tell,Chinese,English,Yes,7,0,no test,Spaced,Controlled multiple exposures over time,RWL,No,Yes,6,No,No,Recognition,not reported,11,0.01,no test
20,"Horst, Cobb, & Meara (1998)",1998,Beyond a Clockwork Orange; acquiring second language vocabulary through reading,Journal Article,University,0.6,Arabic,English,Yes,7,1,no test,Spaced,Controlled multiple exposures over time,RWL,Yes,Yes,15,No,No,Recognition,not reported,34,0.49,no test
21,Mohamed (2009)_average,2009,Investigating incidental vocabulary acquisition in ESL conversation classes,MA thesis,University,cannot tell,Spanish,English,Yes,cannot tell,7,no test,Massed,Single exposure,Mix,Yes,Yes,11,No,cannot tell,Average ,not reported,11,0.515,no test
,Mohamed (2009)_sample 1,2009,Investigating incidental vocabulary acquisition in ESL conversation classes,MA thesis,University,cannot tell,Spanish,English,Yes,cannot tell,7,no test,Massed,Single exposure,Mix,Yes,Yes,11,No,cannot tell,Recall,not reported,11,0.57,no test
,Mohamed (2009)_sample 2,2009,Investigating incidental vocabulary acquisition in ESL conversation classes,MA thesis,University,cannot tell,Spanish,English,Yes,cannot tell,7,no test,Massed,Single exposure,Mix,Yes,Yes,11,No,cannot tell,Recall,not reported,11,0.46,no test
22,Neuman & Koskinen (1992),1992,Captioned television as comprehensible input: effects of incidental word learning from context for language minority students,Journal Article,Secondary,cannot tell,mix,English,Yes,cannot tell,0,no test,Spaced,Repeated exposures over time,Viewing,Yes,Yes,cannot tell,No,No,Recognition,reported,32,0.12,no test
23,"Pavia, Webb, & Faez (in press)_sample 1",in press,Incidental vocabulary learning through listening to songs,MA thesis,Primary,cannot tell,Thai,English,Yes,7,0,14,Massed,Repeated exposures within a single day,Listening,No,No,5,No,Yes,Recognition,not reported,15,0.545,not reported
24,"Pavia, Webb, & Faez (in press)_sample 2",in press,Incidental vocabulary learning through listening to songs,MA thesis,Primary,cannot tell,Thai,English,Yes,7,0,14,Massed,Repeated exposures within a single day,Listening,No,No,5,No,Yes,Recognition,not reported,22,0.424,not reported
25,Pellicer‐Sánchez & Serrano (2017)_sample 1,2017,Incidental vocabulary acquisition in French as a foreign language,Conference presentation,Primary,cannot tell,Spanish,English,Yes,11,10,120,Spaced,Controlled multiple exposures over time,Reading ,No,Yes,46,No,No,Recognition,reported,22,-0.086,not reported
26,Pellicer‐Sánchez & Serrano (2017)_sample 2,2017,Incidental vocabulary acquisition in French as a foreign language,Conference presentation,Primary,cannot tell,Spanish,English,Yes,11,10,120,Spaced,Controlled multiple exposures over time,RWL,No,Yes,46,No,No,Recognition,reported,47,0.023,not reported
27,Reynolds (2018)_sample 1,2018,"The effects of nonce words, frequency, contextual richness, and L2 vocabulary knowledge on the incidental acquisition of vocabulary through reading: More than a replication of Zahar et al. (2001) & Tekmen and Daloğlu (2006)",Journal Article,University,cannot tell,Chinese,English,Yes,14,0,no test,Massed,Repeated exposures within a single day,Reading ,No,No,13,Yes,No,Recognition,not reported,79,0.511,no test
28,Reynolds (2018)_sample 2,2018,"The effects of nonce words, frequency, contextual richness, and L2 vocabulary knowledge on the incidental acquisition of vocabulary through reading: More than a replication of Zahar et al. (2001) & Tekmen and Daloğlu (2006)",Journal Article,University,cannot tell,Chinese,English,Yes,14,0,no test,Massed,Repeated exposures within a single day,Reading ,No,No,13,Yes,No,Recognition,not reported,88,0.633,no test
27,Rodgers (2013)_sample 1,2013,"English language learning through viewing television: An investigation of comprehension, incidental vocabulary acquisition, lexical coverage, attitudes, and captions",PhD thesis,University,0.69,Japanese,English,Yes,7,7,no test,Spaced,Controlled multiple exposures over time,Viewing,Yes,No,49,No,No,Recognition,not reported,187,0.3,no test
28,Rodgers (2013)_sampe 2,2013,"English language learning through viewing television: An investigation of comprehension, incidental vocabulary acquisition, lexical coverage, attitudes, and captions",PhD thesis,University,0.66,Japanese,English,Yes,7,7,no test,Spaced,Controlled multiple exposures over time,Viewing,Yes,No,49,No,No,Recognition,not reported,40,0.392,no test
29,Tekmen & Daloğlu (2006)_sample 1,2006,An investigation of incidental vocabulary acquisition in relation to learner proficiency level and word frequency,Journal Article,University,0.5,Turkish,English,Yes,7,0,7,Massed,Repeated exposures within a single day,RWL,No,No,14,No,No,Recognition,not reported,33,0.477,not reported
30,Tekmen & Daloğlu (2006)_sample 2,2006,An investigation of incidental vocabulary acquisition in relation to learner proficiency level and word frequency,Journal Article,University,0.61,Turkish,English,Yes,7,0,7,Massed,Repeated exposures within a single day,RWL,No,No,14,No,No,Recognition,not reported,32,0.563,not reported
31,Tekmen & Daloğlu (2006)_sample 3,2006,An investigation of incidental vocabulary acquisition in relation to learner proficiency level and word frequency,Journal Article,University,0.79,Turkish,English,Yes,7,0,7,Massed,Repeated exposures within a single day,RWL,No,No,14,No,No,Recognition,not reported,34,0.539,not reported
32,Vidal (2003),2003,Academic listening: a source of vocabulary acquisition,Journal Article,University,cannot tell,Spanish,English,Yes,cannot tell,0,no test,Massed,Single exposure,Listening,No,Yes,5,No,No,VKS,reported,116,0.343,no test
