"from","to","weight"
"S01","S06",5
"S01","S07",3
"S01","S20",1
"S01","S30",1
"S02","S03",3
"S02","S07",4
"S02","S08",6
"S02","S09",5
"S02","S10",4
"S02","S12",1
"S03","S04",3
"S03","S06",4
"S03","S08",2
"S03","S09",2
"S03","S10",4
"S03","S11",2
"S03","S12",4
"S04","S06",3
"S05","S26",1
"S06","S08",6
"S06","S10",5
"S07","S10",5
"S07","S18",1
"S08","S09",5
"S08","S30",2
"S09","S12",2
"S09","S17",1
"S09","S23",2
"S11","S12",7
"S12","S13",3
"S13","S17",1
"S13","S20",3
"S13","S30",2
"S14","S16",6
"S14","S19",6
"S14","S28",2
"S15","S16",1
"S15","S17",3
"S15","S18",5
"S15","S19",8
"S15","S29",1
"S17","S18",4
"S17","S20",3
"S17","S24",4
"S18","S20",7
"S19","S25",1
"S20","S24",2
"S21","S22",4
"S21","S24",3
"S21","S25",7
"S22","S23",4
"S22","S27",2
"S23","S24",4
"S24","S25",4
"S24","S30",5
"S25","S29",5
"S25","S30",7
"S26","S29",5
"S27","S28",5
"S28","S29",3
