"from","to","dist_km"
"S01","S02",1.098
"S01","S11",1.235
"S01","S10",1.45
"S02","S30",1.288
"S02","S13",1.344
"S03","S18",1.252
"S03","S09",1.41
"S03","S25",1.621
"S04","S21",1.18
"S01","S04",2.155
"S04","S26",2.35
"S05","S19",1.06
"S05","S23",1.214
"S05","S18",2.013
"S06","S08",0.626
"S06","S12",1.191
"S06","S16",1.644
"S07","S16",0.214
"S07","S28",0.48
"S07","S12",1.274
"S08","S16",1.463
"S08","S12",1.467
"S09","S18",1.705
"S09","S23",2.938
"S10","S20",0.742
"S10","S11",0.796
"S10","S15",1.239
"S11","S15",1.013
"S12","S16",1.079
"S12","S20",1.263
"S13","S30",0.336
"S13","S28",1.012
"S13","S25",1.131
"S14","S26",1.112
"S14","S24",2.168
"S14","S29",2.598
"S15","S20",1.533
"S16","S28",0.584
"S07","S17",1.449
"S16","S17",1.499
"S08","S17",1.6
"S18","S23",1.239
"S19","S23",0.7
"S18","S19",1.933
"S11","S20",1.495
"S11","S21",2.108
"S01","S21",2.433
"S22","S27",2.31
"S05","S22",2.587
"S22","S23",3.64
"S24","S29",0.835
"S24","S26",2.214
"S25","S30",1.027
"S25","S28",1.199
"S05","S27",2.265
"S19","S27",2.996
"S19","S29",2.351
"S28","S30",1.26
