"from","to","dist_km"
"S01","S02",1.098
"S06","S08",0.626
"S03","S09",1.41
"S01","S10",1.45
"S02","S10",1.407
"S01","S11",1.235
"S10","S11",0.796
"S06","S12",1.191
"S07","S12",1.274
"S08","S12",1.467
"S02","S13",1.344
"S07","S13",1.41
"S12","S13",1.319
"S10","S15",1.239
"S11","S15",1.013
"S07","S16",0.214
"S08","S16",1.463
"S12","S16",1.079
"S13","S16",1.391
"S07","S17",1.449
"S16","S17",1.499
"S03","S18",1.252
"S05","S19",1.06
"S10","S20",0.742
"S11","S20",1.495
"S12","S20",1.263
"S04","S21",1.18
"S05","S23",1.214
"S18","S23",1.239
"S19","S23",0.7
"S13","S25",1.131
"S14","S26",1.112
"S07","S28",0.48
"S12","S28",1.335
"S13","S28",1.012
"S16","S28",0.584
"S25","S28",1.199
"S24","S29",0.835
"S02","S30",1.288
"S13","S30",0.336
"S25","S30",1.027
"S28","S30",1.26
